,ID,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,FUGA,FUGA_COD,CIUDAD_COD,log_RENTA,log_MONTO,RATIO_DEUDA,IS_SANTIAGO,IS_ARICA,IS_CONCEPCION,IS_COD_OFI_27,IS_COD_OFI_31,IS_COD_OFI_55,IS_COD_OFI_90,IS_COD_OFI_138,IS_COD_COM_1,IS_COD_COM_88,IS_COD_COM_89,IS_COD_COM_90,IS_COD_COM_119,IS_COD_COM_226,IS_MONTO_8M,SEGURO_NO,SEGURO_SI,GENERO_F,GENERO_M,NIV_EDUC_COD_COL,NIV_EDUC_COD_UNV,E_CIVIL_COD_CAS,E_CIVIL_COD_SOL
2073,2074,336471,52.0,UNV,CAS,27,226.0,CONCEPCION,0,13214,1273852,40042,1,0,3927,1,1800000,FUGA,1,CONCEPCION,12.726270215095157,14.403297778421795,0.5651249078141738,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0
2074,2075,866405,44.0,MED,CAS,90,121.0,SANTIAGO,0,745044,0,0,2123,11490,1323,3,5200000,NO FUGA,0,SANTIAGO,13.672108899852695,15.46416937585933,0.12530942721442545,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2075,2076,432365,47.0,UNV,VIU,138,1.0,ARICA,0,1590868,0,392307,1727,0,7050,3,7800000,FUGA,1,ARICA,12.977027730758302,15.86963441986494,0.6581585333820135,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
2076,2077,1499161,54.0,UNV,SOL,90,80.0,SANTIAGO,0,1633342,0,0,6480,22732,614,2,3700000,FUGA,1,SANTIAGO,14.220416843293403,15.123843647884687,0.1584856939505306,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2077,2078,302809,41.0,MED,SOL,138,1.0,ARICA,0,20768,423318,0,209,0,93,1,2400000,FUGA,1,ARICA,12.62086082509919,14.690979711984754,0.20965077939276194,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
2078,2079,182941,48.0,UNV,CAS,138,1.0,ARICA,294279,281621,0,0,1875,296,0,1,500000,FUGA,1,ARICA,12.116924441696785,13.122365377402328,0.45141173539946916,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
2079,2080,352453,32.0,MED,CAS,37,80.0,SANTIAGO,0,236182,0,0,32,62,0,1,2100000,NO FUGA,0,SANTIAGO,12.772675396265157,14.557448378884015,0.09576839221926653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2080,2081,422553,53.0,TEC,CAS,95,316.0,AYSEN,0,0,0,0,12,0,331,1,2400000,NO FUGA,0,AYSEN,12.954072528263168,14.690979711984754,0.00011629986568041676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
2081,2082,68313,26.0,UNV,SOL,37,85.0,SANTIAGO,0,0,0,0,3,0,27,1,5900000,NO FUGA,0,SANTIAGO,11.131870002591821,15.59046307836746,6.482765254887692e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
2082,2083,31260,46.0,TEC,SOL,41,105.0,SANTIAGO,0,1051465,0,0,2,0,15,1,2600000,NO FUGA,0,SANTIAGO,10.350126593227081,14.77102238760702,4.805241751211041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
2083,2084,277887,29.0,UNV,SOL,19,105.0,SANTIAGO,0,139504,0,8980,0,5590,27,0,1600000,NO FUGA,0,SANTIAGO,12.534973433797909,14.285514812209815,0.07922130732481703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
2084,2085,823135,38.0,UNV,CAS,52,89.0,SANTIAGO,0,500848,0,0,799,14708,1,3,6000000,NO FUGA,0,SANTIAGO,13.62087671509578,15.607270193858982,0.0896150518618279,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
2085,2086,58944,46.0,TEC,SOL,71,326.0,PUNTA ARENAS,0,128212,0,0,3,0,0,1,2300000,NO FUGA,0,PUNTA ARENAS,10.984360084726228,14.648420115681892,0.310745307895145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
2086,2087,31110,46.0,UNV,CAS,55,90.0,SANTIAGO,0,0,0,340286,407,7079,1164,1,8000000,FUGA,1,SANTIAGO,10.345316733380217,15.894952224644102,1.6023189603710335,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
2087,2088,210567,29.0,UNV,SOL,52,89.0,SANTIAGO,0,313607,0,164173,70,0,321,1,1900000,NO FUGA,0,SANTIAGO,12.257563920318312,14.45736497045232,0.3244111646852817,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
2088,2089,368128,50.0,UNV,SOL,139,88.0,SANTIAGO,0,0,0,0,0,0,0,0,5000000,NO FUGA,0,SANTIAGO,12.816188699203318,15.424948670398354,3.8806377905821577e-07,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
2089,2090,4238245,53.0,MED,CAS,85,88.0,SANTIAGO,0,2769519,747177,0,7903,12945,1408,1,8000000,NO FUGA,0,SANTIAGO,15.259660062373994,15.894952224644102,0.11928633533118407,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0
2090,2091,346019,45.0,TEC,CAS,138,1.0,ARICA,0,62,0,203524,0,0,347,1,2700000,FUGA,1,ARICA,12.754251855837513,14.80876270134486,0.08419603712925756,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
2091,2092,5349,41.0,TEC,SOL,71,326.0,PUNTA ARENAS,0,69653,0,0,4,0,0,1,2500000,NO FUGA,0,PUNTA ARENAS,8.584851839890053,14.731801689838349,1.8603744358090963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
2092,2093,33691,41.0,TEC,SOL,27,228.0,PENCO,0,219187,0,0,74,0,111,1,1300000,NO FUGA,0,PENCO,10.425015699435255,14.077875591662238,0.9301890712653231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
2093,2094,419728,33.0,TEC,CAS,12,13.0,CALAMA,425712,490716,0,0,1136,4189,0,2,1300000,NO FUGA,0,CALAMA,12.947364543908625,14.077875591662238,0.3137249429562547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
2094,2095,272754,29.0,MED,SOL,142,93.0,SANTIAGO,0,434453,0,0,26,0,0,1,1900000,NO FUGA,0,SANTIAGO,12.516329235332975,14.45736497045232,0.22756246078360512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
2095,2096,1060563,50.0,TEC,CAS,138,1.0,ARICA,0,953788,0,0,0,16105,0,1,8000000,FUGA,1,ARICA,13.874311400057985,15.894952224644102,0.130644087823435,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0
2096,2097,4260843,42.0,UNV,CAS,55,90.0,SANTIAGO,427484,138201,0,20453,380,0,0,1,1200000,FUGA,1,SANTIAGO,15.264977820687696,13.997832948091215,0.01966475379905539,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
2097,2098,181414,45.0,UNV,CAS,31,119.0,SANTIAGO,0,232730,0,0,0,0,17,1,2500000,FUGA,1,SANTIAGO,12.10854250343196,14.731801689838349,0.18328086192749338,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0
2098,2099,11361,40.0,UNV,SEP,55,90.0,SANTIAGO,0,0,0,0,0,200,0,1,4000000,FUGA,1,SANTIAGO,9.338029733117072,15.201805169084134,0.0025274435097514055,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
2099,2100,165431,54.0,MED,CAS,73,90.0,SANTIAGO,0,138355,0,144556,63,0,0,1,3800000,FUGA,1,SANTIAGO,12.016315513233597,15.150511887854474,0.24436169762620066,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
2100,2101,169846,41.0,UNV,CAS,55,90.0,SANTIAGO,0,348326,0,0,0,0,95,1,1500000,FUGA,1,SANTIAGO,12.042653310789234,14.220976332738882,0.2930570718684657,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
2101,2102,527832,42.0,TEC,CAS,90,98.0,SANTIAGO,0,0,0,0,0,26746,0,0,2700000,NO FUGA,0,SANTIAGO,13.17653522478005,14.80876270134486,0.007239045756983283,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
2102,2103,8067,44.0,MED,SOL,101,80.0,SANTIAGO,0,0,0,28271,0,0,3284,0,7500000,NO FUGA,0,SANTIAGO,8.995660899074103,15.830413711839864,0.5588198834758894,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
2103,2104,219079,53.0,TEC,CAS,84,88.0,SANTIAGO,0,3140,0,388650,541,0,102,1,1900000,FUGA,1,SANTIAGO,12.297192238897658,14.45736497045232,0.2558985571414878,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
2104,2105,302295,49.0,UNV,SOL,138,1.0,ARICA,0,366940,0,117847,91,0,466,2,1500000,FUGA,1,ARICA,12.619161948791156,14.220976332738882,0.22936204700706264,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
2105,2106,273617,53.0,UNV,SOL,16,115.0,SANTIAGO,0,122067,0,391603,788,13025,607,2,1700000,FUGA,1,SANTIAGO,12.519488252040183,14.346139397261565,0.2757196059768634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
2106,2107,32828,50.0,UNV,CAS,125,88.0,SANTIAGO,0,24533,0,47511,2097,0,35,1,2600000,FUGA,1,SANTIAGO,10.399067550086553,14.77102238760702,0.3227950007833035,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
2107,2108,46625,44.0,TEC,SOL,94,301.0,ANCUD,1612328,350309,0,505200,3487,237,34,1,7800000,NO FUGA,0,ANCUD,10.749913604437298,15.86963441986494,7.572871696667943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
2108,2109,114157,47.0,UNV,SOL,138,1.0,ARICA,4803979,7546,0,189962,2517,0,19021,3,3000000,FUGA,1,ARICA,11.645338732726055,14.914123179965662,6.285861952023466,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2109,2110,2943645,42.0,UNV,CAS,55,90.0,SANTIAGO,1488583,1055099,0,469234,3079,0,91,1,3200000,FUGA,1,SANTIAGO,14.895159507035729,14.978661680269907,0.1463728035916598,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
2110,2111,32910,38.0,TEC,SOL,92,89.0,SANTIAGO,0,463931,0,0,1,24731,0,1,5100000,NO FUGA,0,SANTIAGO,10.401562227376685,15.444751293772967,2.1212136997004816,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
2111,2112,1040669,42.0,MED,CAS,61,284.0,OSORNO,0,1064194,0,0,0,4637,0,0,8000000,NO FUGA,0,OSORNO,13.855375294459227,15.894952224644102,0.14672319989764826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0
2112,2113,533635,44.0,UNV,CAS,55,90.0,SANTIAGO,0,1216505,0,7339,1611,5427,99,2,1700000,FUGA,1,SANTIAGO,13.187469237574671,14.346139397261565,0.3295409248429571,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
2113,2114,6632201,30.0,TEC,VIU,61,284.0,OSORNO,0,409898,0,0,2,15627,0,1,1900000,NO FUGA,0,OSORNO,15.707447433717016,14.45736497045232,0.009165843177206826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
